city,lat,lng,population,capital
Tartu,58.38,26.7225,91407,admin
Makeni,8.8817,-12.0442,87679,admin
Hradec Kralove,50.2092,15.8319,92683,admin
Miaoli,24.57,120.82,90963,admin
Usti nad Labem,50.6592,14.0417,91982,admin
Pardubice,50.0386,15.7792,91755,admin
Magadan,59.5667,150.8,92782,admin
Bender,46.8333,29.4833,91882,admin
Panevezys,55.725,24.3639,91054,admin
Jaffna,9.6647,80.0167,88138,admin
Francistown,-21.1736,27.5125,89979,admin
Kalibo,11.7,122.3667,89127,admin
Jonkoping,57.7833,14.1667,89780,admin
Umea,63.8285,20.2706,90412,admin
Poitiers,46.58,0.34,88665,minor
Glyfada,37.88,23.7533,87305,minor
Babahoyo,-1.8167,-79.5167,90191,admin
Acayucan,17.9422,-94.9103,83817,minor
Dobrich,43.5667,27.8333,90419,admin
Tartus,34.8833,35.8833,89457,admin
Catanzaro,38.91,16.5875,89718,admin
Valjevo,44.2667,19.8833,90312,admin
Jalal-Abad,40.9375,72.9861,89004,admin
Tala,20.6525,-103.7028,80365,minor
Presov,49,21.2333,88680,admin
Balkanabat,39.5119,54.365,89785,admin
Ipil,7.7833,122.5833,89401,admin
Sliven,42.6781,26.326,89540,admin
Mechelen,51.0281,4.4803,86921,minor
As Salt,32.0392,35.7272,88900,admin
Mukacheve,48.4414,22.7136,86257,minor
Tangxing,35.7261,111.7108,86862,minor
Nabatiye,33.3833,35.45,80000,admin
Volos,39.3611,22.9425,86046,minor
Al Wakrah,25.18,51.61,87970,admin
Viana do Castelo,41.7,-8.8333,88725,admin
Apizaco,19.4167,-98.1333,81565,minor
Prosperidad,8.6057,125.9153,88321,admin
Bertoua,4.5833,13.6833,88462,admin
Alabel,6.1023,125.2868,88294,admin
Versailles,48.8053,2.135,85205,minor
Coronel Oviedo,-25.45,-56.44,88101,admin
Darayya,33.4589,36.2372,84044,minor
Mersin,36.8,34.6167,86692,admin
Ebolowa,2.9,11.15,87875,admin
Sabaneta,6.1508,-75.615,82375,minor
Maasin,10.1333,124.85,87446,admin
San Juan de los Morros,9.901,-67.354,87739,admin
Lokossa,6.615,1.715,86971,admin
Maldonado,-34.9088,-54.9581,86782,admin
Mardin,37.3131,40.735,86948,admin
Mingxing,37.4264,112.5442,82981,minor
Nakhon Sawan,15.7133,100.1353,86439,admin
Loznica,44.5333,19.2258,86413,admin
Tucupita,9.0575,-62.0452,86487,admin
Ath Thawrah,35.8344,38.5464,84000,minor
Tacambaro de Codallos,19.2356,-101.4569,76661,minor
Ciudad Lerdo,25.55,-103.5167,79669,minor
Piatra Neamt,46.9275,26.3708,85055,admin
Kouvola,60.8681,26.7042,85855,admin
Toledo,39.8567,-4.0244,85449,admin
El Bayadh,33.6831,1.0192,85577,admin
Como,45.8103,9.0861,83320,minor
Pori,61.4847,21.7972,85363,admin
Cozumel,20.5104,-86.9493,77236,minor
Louga,15.6167,-16.2167,85075,admin
Mbarara,-0.5996,30.65,83700,admin
Puerto Maldonado,-12.6,-69.1833,85024,admin
Hetauda,27.4167,85.0333,84671,admin
Chaguanas,10.5144,-61.4075,83489,admin
Nazareth,32.7021,35.2978,83400,admin
Uman,48.75,30.2167,82762,minor
Nabunturan,7.6078,125.9664,84340,admin
Ouidah,6.3604,2.09,83503,admin
Osijek,45.5603,18.6703,84104,admin
Chervonohrad,50.3822,24.2275,82395,minor
Lucerne,47.0523,8.3059,81691,admin
Tecate,32.5728,-116.6267,81059,minor
Barahona,18.2079,-71.0996,83619,admin
Ho,6.6114,0.4703,83715,admin
Phuket,7.8881,98.3975,77610,admin
Kayes,14.45,-11.4167,77207,admin
Zilina,49.2167,18.7333,82704,admin
Resita,45.297,21.8865,83324,admin
Antsiranana,-12.2765,49.3115,82937,admin
Purmerend,52.505,4.9639,80117,minor
Targu Jiu,45.0342,23.2747,82504,admin
Silao,20.9478,-101.4281,74242,minor
Abomey,7.1853,1.9914,82154,admin
Shumen,43.2746,26.9349,82497,admin
Juchitan de Zaragoza,16.436,-95.0198,74825,minor
Elbasan,41.1125,20.0822,78703,admin
Nea Ionia,38.0333,23.75,67134,minor
Schiedam,51.9167,4.4,77999,minor
Huolu,38.0874,114.3159,78250,minor
Daugavpils,55.8714,26.5161,80627,admin
Hakkari,37.5744,43.7408,81424,admin
Chalandri,38.0167,23.8,74192,minor
Targoviste,44.9244,25.4572,79610,admin
Galway,53.2729,-9.0418,79504,admin
Natitingou,10.3204,1.39,80892,admin
Barreiro,38.6609,-9.0733,78764,minor
Paysandu,-32.32,-58.0756,76429,admin
Atakpame,7.53,1.12,80683,admin
Focsani,45.6997,27.1797,79315,admin
Cabadbaran,9.1228,125.5346,80354,admin
Tejupilco,18.9058,-100.1528,71077,minor
Ragusa,36.925,14.7306,73638,minor
Zuwarah,32.9333,12.0833,80310,admin
Puerto Ayacucho,5.6631,-67.6264,80000,admin
Chiquimula,14.7833,-89.5333,79815,admin
Nakhon Pathom,13.8194,100.0581,78780,admin
Mahdia,35.5047,11.0622,79545,admin
Cheyenne,41.1351,-104.79,79484,admin
Ubon Ratchathani,15.2281,104.8594,79023,admin
Garissa,-0.4569,39.6583,65881,admin
Lisala,2.14,21.51,79235,admin
Szombathely,47.2333,16.6333,78324,admin
Banska Bystrica,48.7353,19.1453,78327,admin
Frontera,26.926,-101.449,75242,minor
Perote,19.562,-97.242,72795,minor
Aveiro,40.6389,-8.6553,78450,admin
Tambacounda,13.7689,-13.6672,78800,admin
La Rochelle,46.1591,-1.1517,76114,minor
Mpanda,-6.3436,31.0694,73338,admin
Pau,43.3,-0.37,76275,minor
Bokhtar,37.8364,68.7803,75450,admin
Godawari,28.91,80.59,78018,admin
Wa,10.0667,-2.5,78107,admin
Nitra,48.3147,18.0875,77374,admin
Lelystad,52.5167,5.4833,77893,admin
San Miguel de Allende,20.9142,-100.7436,69811,minor
Sankt Gallen,47.4233,9.3772,75833,admin
Gavle,60.6748,17.1444,77586,admin
Caxito,-8.5785,13.6642,77276,admin
Esbjerg,55.467,8.45,72205,minor
Mao,19.5667,-71.0833,76863,admin
Virac,13.5833,124.2333,76520,admin
Berberati,4.2667,15.7833,76918,admin
Tamazunchale,21.2667,-98.7833,72685,minor
Zrenjanin,45.3778,20.3861,76511,admin
Surt,31.2,16.6,76788,admin
Pancevo,44.8739,20.6519,76203,admin
Karaman,37.1833,33.2167,76525,admin
Dolores Hidalgo Cuna de la Independencia Nacional,21.1516,-100.9369,67101,minor
Abeche,13.8331,20.8347,76492,admin
Palmerston North,-40.3549,175.6095,76236,admin
Palaio Faliro,37.932,23.7003,64021,minor
Un'goofaaru,5.6681,73.0302,,admin
Ramla,31.9275,34.8625,75500,admin
Jinja,0.4431,33.2128,72931,admin
Tamanrasset,22.785,5.5228,76000,admin
Zadar,44.1167,15.2167,75082,admin
Ixtaczoquitlan,18.85,-97.0667,68823,minor
Tissemsilt,35.6072,1.8106,75197,admin
Bistrita,47.1333,24.4833,75076,admin
Joensuu,62.6,29.7639,75514,admin
Rioverde,21.93,-99.98,69613,minor
Matehuala,23.6528,-100.6444,67717,minor
Darhan,49.4867,105.9228,74738,admin
Karlstad,59.3808,13.5016,74141,admin
Teyateyaneng,-29.15,27.7333,75115,admin
Gouda,52.0181,4.7056,71449,minor
Zacatecoluca,13.5,-88.8667,75100,admin
Zlin,49.2331,17.6669,74478,admin
Spijkenisse,51.8333,4.3167,72740,minor
Calais,50.9481,1.8564,72929,minor
Vlaardingen,51.9167,4.35,72404,minor
Prey Veng,11.484,105.324,74000,admin
Inowroclaw,52.7958,18.2611,72561,minor
Pazardzhik,42.1935,24.3328,74785,admin
Bitola,41.0319,21.3347,74550,admin
Pernik,42.5998,23.0308,74553,admin
San Andres,12.5847,-81.7006,71946,admin
Naxcivan,39.2089,45.4122,74500,admin
Manokwari,-0.8711,134.0693,74504,admin
Masvingo,-20.0744,30.8328,72527,admin
Assab,13.0078,42.7411,74405,admin
Nabeul,36.4514,10.7361,73128,admin
Tulcea,45.19,28.8,73707,admin
Birobidzhan,48.7833,132.9333,73623,admin
Sanliurfa,37.1583,38.7917,73498,admin
El Kef,36.1667,8.7,73706,admin
Salima,-13.7829,34.4333,71181,admin
Farah,32.3436,62.1194,73647,admin
Blagoevgrad,42.0119,23.0897,73463,admin
Antalya,36.9081,30.6956,71833,admin
Sa`dah,16.94,43.7592,70203,admin
Fada Ngourma,12.05,0.3667,73200,admin
San Jose de las Lajas,22.9678,-82.1558,73136,admin
Thakhek,17.4,104.8,70000,admin
Dabou,5.3256,-4.3767,72913,admin
Lappeenranta,61.0583,28.1861,72875,admin
Oroquieta,8.4833,123.8,72301,admin
Karakax,37.2714,79.7267,66541,minor
Abancay,-13.6333,-72.8833,72277,admin
Nizwa,22.9264,57.5314,72076,admin
Haskovo,41.9346,25.5556,72016,admin
Borongan,11.6,125.4333,71961,admin
Najran,17.4917,44.1322,72038,admin
Cergy,49.0361,2.0631,66322,minor
Cacak,43.8914,20.3497,71883,admin
La Chorrera,8.8792,-79.7822,68896,admin
Zaandam,52.4417,4.8422,68695,minor
Ajaccio,41.9267,8.7369,70817,admin
Mamou,10.3833,-12.0833,71153,admin
Slatina,44.4297,24.3642,70293,admin
Misantla,19.9333,-96.85,64249,minor
Salama,15.1052,-90.316,71478,admin
Yambol,42.4824,26.5038,70782,admin
Ramos Arizpe,25.55,-100.9667,66554,minor
Phitsanulok,16.8158,100.2636,70871,admin
Zinjibar,13.1283,45.3803,70801,admin
Kumanovo,42.1322,21.7144,70842,admin
Valle Hermoso,25.6736,-97.8144,68573,minor
Novi Pazar,43.15,20.5167,66527,admin
Mindelo,16.8914,-24.988,70468,admin
Capelle aan den IJssel,51.9357,4.5782,66514,minor
Chiang Rai,19.9094,99.8275,70610,admin
Huatusco,19.1489,-96.9661,60674,minor
Sunyani,7.336,-2.336,70299,admin
Aksaray,38.3686,34.0297,70359,admin
Sagaing,21.8822,95.9786,69917,admin
Gardez,33.5931,69.2297,70000,admin
Szolnok,47.1747,20.1764,69725,admin
Encarnacion,-27.3333,-55.8667,69868,admin
Moquegua,-17.2,-70.9333,69882,admin
Heroica Caborca,30.7167,-112.15,67604,minor
Rivera,-30.9025,-55.5506,64465,admin
Balikesir,39.6511,27.8842,69341,admin
L'Aquila,42.354,13.392,69439,admin
Cortazar,20.483,-100.933,61658,minor
Antony,48.7539,2.2975,62858,minor
Putrajaya,2.93,101.69,67964,admin
Liepaja,56.5083,21.0111,67964,admin
Kati,12.7504,-8.08,66895,minor
Bouira,36.3783,3.8925,68545,admin
Veenendaal,52.025,5.555,65589,minor
San Jose del Guaviare,2.5653,-72.6386,68878,admin
Ponta Delgada,37.74,-25.67,68809,admin
Kasese,0.23,29.9883,67269,admin
Saki,41.1919,47.1706,68360,admin
Zamosc,50.7206,23.2586,66234,minor
Assen,53,6.55,67580,admin
Adrar,27.8742,-0.2939,68276,admin
Bayombong,16.4833,121.15,67714,admin
Buynaksk,42.8167,47.1167,65080,minor
Aregua,-25.3,-57.4169,67487,admin
Hameenlinna,61,24.4414,68011,admin
Vaasa,63.1,21.6167,67619,admin
Vyronas,37.9556,23.76,61308,minor
Lao Cai,22.4194,103.995,67206,admin
Molepolole,-24.4066,25.4951,67598,admin
Potenza,40.6333,15.8,67211,admin
Dimbokro,6.6505,-4.71,67349,admin
Katwijk,52.2008,4.4153,65302,minor
Altamira,22.3375,-97.8694,59536,minor
Guamuchil,25.4639,-108.0794,63743,minor
Acambaro,20.0361,-100.7314,57972,minor
Lechang,35.6415,111.4633,64587,minor
Bolgatanga,10.7856,-0.8514,66685,admin
Kraljevo,43.7234,20.687,66688,admin
Agia Paraskevi,38.0053,23.8208,59704,minor
Troyes,48.2997,4.0792,61996,minor
Veliko Tarnovo,43.0787,25.6283,66550,admin
Nalut,31.8804,10.97,66609,admin
Zacapa,14.9667,-89.5333,66423,admin
Los Polvorines,-34.5,-58.7,60867,minor
San Jose,10.75,121.95,65140,admin
Prilep,41.3464,21.5542,66246,admin
Trnava,48.3777,17.5862,65382,admin
Masaka,-0.3296,31.73,65373,admin
Goz-Beida,12.2236,21.4144,66107,admin
San Marcos,14.9653,-91.7958,65571,admin
Samut Sakhon,13.5486,100.2775,60103,admin
Tatabanya,47.5862,18.3949,65145,admin
Sarcelles,48.9956,2.3808,58811,minor
Ioannina,39.6636,20.8522,65574,admin
Trabzon,41.005,39.7225,65516,admin
Calarasi,44.2,27.3333,65181,admin
Denizli,37.7731,29.0878,64331,admin
Nieuwegein,52.0314,5.0919,63036,minor
Rundu,-17.9167,19.7667,63431,admin
Kitale,1.0167,35,63245,admin
Songkhla,7.2061,100.5967,63834,admin
Singida,-4.8186,34.7506,62432,admin
Solwezi,-12.1833,26.4,65000,admin
As Suwayda',32.7,36.5667,64730,admin
Elk,53.8167,22.35,62006,minor
Faro,37.0161,-7.935,64560,admin
Faizabad,37.1298,70.5792,64704,admin
Cosamaloapan,18.3667,-95.8,57147,minor
Sokhumi,43.0033,41.0153,64441,admin
Solola,14.7667,-91.1833,63973,admin
Yoro,15.1333,-87.1333,64425,admin
Pruszkow,52.1667,20.8,61237,minor
Manouba,36.8,10.1,58792,admin
Inhambane,-23.865,35.3833,63837,admin
Alba Iulia,46.0764,23.5728,63536,admin
Latacunga,-0.9333,-78.6167,63842,admin
Gorno-Altaysk,51.96,85.96,63214,admin
Dedougou,12.4667,-3.4667,63617,admin
Kahramanmaras,37.5875,36.9453,63284,admin
Nkhotakota,-12.9163,34.3,59854,admin
Karakol,42.5,78.3833,63377,admin
Sopron,47.6833,16.5833,62900,admin
Anuradhapura,8.335,80.4108,63208,admin
Cherbourg,49.6333,-1.6,60991,minor
Kratie,12.4881,106.0188,60000,admin
Sabinas,27.8489,-101.12,59196,minor
Beledweyne,4.736,45.204,62945,admin
Tandag,9.0667,126.1833,62669,admin
Stryi,49.25,23.85,59325,minor
Leskovac,42.9981,21.9461,60288,admin
Saraburi,14.5286,100.9114,61750,admin
Rayong,12.6742,101.2789,61902,admin
Kolda,12.8958,-14.9408,62258,admin
Santarem,39.2392,-8.6869,62200,admin
Napier,-39.4833,176.9167,62241,admin
Bobigny,48.9106,2.4397,54272,minor
Linares,24.8604,-99.57,57731,minor
Madang,-5.2248,145.7853,62023,admin
Bamyan,34.8167,67.8167,61863,admin
Yala,6.5397,101.2811,61250,admin
Rovaniemi,66.5028,25.7285,61763,admin
Giurgiu,43.9,25.9667,61353,admin
Puerto Limon,10.0022,-83.084,60710,admin
Chambery,45.57,5.9118,58833,minor
Seinajoki,62.7903,22.8403,61530,admin
Suileng,47.246,127.106,57789,minor
Coyhaique,-45.5712,-72.0685,61210,admin
Gaalkacyo,6.7697,47.4308,61200,admin
Ben Tre,10.2333,106.3833,59442,admin
Hunedoara,45.7697,22.9203,60525,admin
Limerick,52.6653,-8.6238,58319,admin
Longxing,35.6091,111.2304,56381,minor
Larnaca,34.9167,33.6333,59200,admin
Trang,7.5561,99.6114,60591,admin
Oyem,1.6,11.5667,60685,admin
Lokoja,7.8019,6.7442,60579,admin
Juigalpa,12.0833,-85.4,60583,admin
Vaxjo,56.8837,14.8167,59600,admin
Swidnica,50.8406,16.4925,57761,minor
Tezonapa,18.6058,-96.6875,56956,minor
Lorient,47.75,-3.36,57084,minor
Kaposvar,46.3667,17.7833,59777,admin
Bungoma,0.5666,34.5666,55857,admin
Pinotepa,16.3412,-98.0537,53148,minor
Evry,48.6239,2.4294,53641,minor
Itanagar,27.1,93.62,59490,admin
Uzice,43.85,19.85,59747,admin
Samut Prakan,13.6004,100.5964,51309,admin
Antigua Guatemala,14.5567,-90.7337,59091,admin
Rodos,36.4412,28.2225,56969,minor
Tacuarembo,-31.7144,-55.9828,54755,admin
Merida,38.9,-6.3333,59424,admin
Zumpango,19.7969,-99.0992,50742,minor
Artemisa,22.8136,-82.7633,59130,admin
Yevlax,40.6172,47.15,59036,admin
Viedma,-40.8,-63,59122,admin
Cerro de Pasco,-10.6864,-76.2625,58899,admin
Meaux,48.9603,2.8883,55416,minor
Kabinda,-6.1296,24.48,59004,admin
Huamantla,19.3133,-97.9228,51996,minor
Krusevac,43.5833,21.3267,58745,admin
Carson City,39.1512,-119.7474,58756,admin
Tenkodogo,11.7833,-0.3667,58600,admin
Dosso,13.05,3.2,58671,admin
Naval,11.5833,124.45,58187,admin
Veszprem,47.1,17.9167,58153,admin
Kitgum,3.3004,32.87,56891,admin
Bondoukou,8.0304,-2.8,58297,admin
San Fernando,10.2833,-61.4667,55419,admin
Novohrad-Volynskyi,50.5833,27.6333,56288,minor
Bekescsaba,46.6833,21.0833,58002,admin
Chania,35.5167,24.0167,53910,minor
Huehuetenango,15.3147,-91.4761,58000,admin
Jefferson City,38.5676,-92.1759,58025,admin
Legionowo,52.3833,20.8833,53886,minor
Slavonski Brod,45.1553,18.0144,56769,admin
Magong,23.5667,119.5833,56435,admin
Nuevo Casas Grandes,30.4167,-107.9167,55553,minor
Acatzingo,18.9817,-97.7822,52078,minor
Al Mafraq,32.2833,36.2333,57118,admin
Boac,13.45,121.8333,57283,admin
Mafeteng,-29.8167,27.25,57059,admin
Chinhoyi,-17.35,30.2,56794,admin
Melo,-32.3667,-54.1833,51830,admin
Belize City,17.4986,-88.1886,57169,admin
Vratsa,43.2121,23.5444,57028,admin
Maun,-19.9833,23.4167,57067,admin
Bac Giang,21.2731,106.1947,53728,admin
Chiapa de Corzo,16.7083,-93.0169,45077,minor
Duzce,40.8417,31.1583,56649,admin
Ushuaia,-54.8072,-68.3044,56956,admin
San Pedro,25.7578,-102.9831,49490,minor
Zalau,47.1911,23.0572,56202,admin
Mugla,37.2167,28.3667,56619,admin
Sfantu-Gheorghe,45.8653,25.7878,56006,admin
Evora,38.5725,-7.9072,56596,admin
Phra Nakhon Si Ayutthaya,14.3594,100.5761,52952,admin
Zouerate,22.7344,-12.4725,56345,admin
Trencin,48.8942,18.0406,55593,admin
Santa Rosa de Copan,14.7667,-88.7833,56000,admin
Jelgava,56.6522,23.7244,55336,admin
Saint-Quentin,49.8486,3.2864,53856,minor
Vaslui,46.6468,27.7387,55407,admin
Francisco I. Madero,25.7753,-103.2731,50084,minor
Castelo Branco,39.8228,-7.4931,56109,admin
Vigan,17.5747,120.3869,53935,admin
Sankt Polten,48.2,15.6167,55514,admin
Zalaegerszeg,46.8392,16.8511,55470,admin
Iba,15.3333,119.9833,55581,admin
Halmstad,56.6754,12.8587,55657,admin
Ohrid,41.1169,20.8019,55749,admin
Guliston,40.4833,68.7833,55600,admin
Busia,0.4669,34.09,47100,admin
Rijswijk,52.0456,4.33,51742,minor
Skien,59.2081,9.5528,55144,admin
Lampang,18.3,99.5,55044,admin
Vranje,42.5542,21.8972,55138,admin
Malisheve,42.4828,20.7458,54613,admin
Gutao,37.1989,112.1767,50000,minor
Mikkeli,61.6875,27.2736,54665,admin
Chake Chake,-5.2395,39.77,49959,admin
Charikar,35.0183,69.1679,53676,admin
Louangphabang,19.8931,102.1381,53792,admin
Prachuap Khiri Khan,11.8089,99.798,54018,admin
Gao,16.2667,-0.05,49483,admin
Tulcan,0.8117,-77.7186,53558,admin
Korce,40.6167,20.7667,51152,admin
Iganga,0.6092,33.4686,45024,admin
Bayonne,43.49,-1.48,51411,minor
Sakon Nakhon,17.1564,104.1456,53618,admin
Alajuela,10.0311,-84.2041,48326,admin
Ocosingo,16.9072,-92.0961,41878,minor
Pursat,12.5337,103.9167,52476,admin
Marondera,-18.1833,31.55,52283,admin
San Vicente,13.6333,-88.8,53213,admin
Gabrovo,42.8742,25.3178,52974,admin
Hrazdan,40.5,44.7667,52808,admin
Maha Sarakham,16.1772,103.3008,52866,admin
Jimenez,27.13,-104.9067,48859,minor
Takeo,10.9833,104.7833,52000,admin
Helena,46.5965,-112.0202,52936,admin
Vejle,55.709,9.535,51177,admin
Bang Bua Thong,13.9099,100.4263,50141,minor
Bodo,67.2833,14.3833,52560,admin
Mongu,-15.2796,23.12,52534,admin
Jinotepe,11.85,-86.2,52175,admin
Lamia,38.8972,22.4311,52006,admin
Mangochi,-14.4722,35.2639,51429,admin
Lankaran,38.7536,48.8511,51300,admin
Vila Real,41.2953,-7.7461,51850,admin
Loreto,22.2667,-101.9833,43411,minor
Ratnapura,6.693,80.386,47832,admin
Barendrecht,51.85,4.5333,48673,minor
Eger,47.8989,20.3747,51168,admin
Jihlava,49.4003,15.5906,51125,admin
Harasta,33.5586,36.365,45974,minor
Whangarei,-35.725,174.3236,50784,admin
Sombor,45.78,19.12,51471,admin
Tizimin,21.1425,-88.1647,46971,minor
Tlapa de Comonfort,17.5461,-98.5764,37975,minor
Kardzhali,41.6447,25.375,51242,admin
Wajir,1.7472,40.0572,45771,admin
Guozhen,34.3668,107.198,49100,minor
Seguela,7.9611,-6.6731,51157,admin
Cuetzalan,20.0333,-97.5167,47983,minor
Sar-e Pul,36.2214,65.9278,51075,admin
Komotini,41.1167,25.4,50990,admin
Gori,41.9817,44.1124,48143,admin
Alytus,54.4014,24.0492,49888,admin
Sisophon,13.5859,102.9737,50302,admin
Jarash,32.2723,35.8914,50745,admin
Bangued,17.5965,120.6179,50382,admin
Jurmala,56.9722,23.7969,50248,admin
Gbadolite,4.275,21,50493,admin
Cojutepeque,13.7167,-88.9333,48411,admin
Gracias,14.5833,-88.5833,50256,admin
Ma`an,30.192,35.736,50350,admin
Selibe Phikwe,-21.9667,27.9167,49724,admin
Tubod,8.05,123.8,50073,admin
Campobasso,41.561,14.6684,49262,admin
Moyobamba,-6.0333,-76.9667,50073,admin
Al Kharjah,25.44,30.55,49991,admin
Zaranj,30.96,61.86,49851,admin
Odienne,9.5,-7.5667,49857,admin
Kangar,6.4333,100.2,48898,admin
Belfort,47.64,6.85,46954,minor
Huancavelica,-12.785,-74.9714,49570,admin
Lulea,65.5838,22.1915,49123,admin
Couva,10.4167,-61.45,48858,admin
Waterford,52.2583,-7.119,48369,admin
Nelson,-41.2931,173.2381,49300,admin
Meoqui,28.2722,-105.4819,44853,minor
San Isidro,-34.4667,-58.5167,43595,minor
Karlovy Vary,50.2306,12.8725,48319,admin
Mantes-la-Jolie,48.9908,1.7172,44227,minor
Asadabad,34.8742,71.1528,48400,admin
Sariyer,41.1911,29.0094,46729,minor
Middelburg,51.4997,3.6136,47939,admin
Tulum,20.2119,-87.4658,33374,minor
Nueva Loja,0.0844,-76.8911,48562,admin
Kita,13.0504,-9.4833,46435,minor
Serowe,-22.3833,26.7167,48573,admin
Mandeville,18.0333,-77.5,48317,admin
Birendranagar,28.6,81.6333,47914,admin
Nong Khai,17.8842,102.7467,48274,admin
Salekhard,66.5333,66.6333,48507,admin
Bindura,-17.3,31.3333,46275,admin
Isiolo,0.35,37.5833,45989,admin
Mercedes,-33.25,-58.0319,41974,admin
Villa de Zaachila,16.9508,-96.7492,43279,minor
Leribe,-28.8734,28.0416,47675,admin
Njombe,-9.3296,34.77,46724,admin
Mamburao,13.2233,120.596,47705,admin
Chalon-sur-Saone,46.7806,4.8528,44810,minor
Invercargill,-46.429,168.362,47625,admin
Kerkrade,50.8667,6.0667,45642,minor
New Amsterdam,6.25,-57.5167,46874,admin
Hajjah,15.695,43.5975,46568,admin
Kokkola,63.8376,23.132,47570,admin
Embu,-0.5333,37.45,41092,admin
Bang Kruai,13.8042,100.4755,42390,minor
Rosso,16.5128,-15.805,47203,admin
Chitre,7.9667,-80.4333,46191,admin
Badulla,6.9847,81.0564,42923,admin
Nagykanizsa,46.4558,16.9975,46866,admin
Ciudad Constitucion,25.0322,-111.6703,43805,minor
Boosaaso,11.28,49.18,46969,admin
Santiago,8.1004,-80.9833,45955,admin
Lindi,-9.9969,39.7144,41549,admin
Kanye,-24.9833,25.35,46831,admin
Choma,-16.8095,26.97,46746,admin
Trollhattan,58.2671,12.3,44543,minor
Aweil,8.7666,27.4,46705,admin
Ostersund,63.1775,14.6414,46178,admin
Valenciennes,50.358,3.5233,43405,minor
Dori,14.05,0.05,46521,admin
Artigas,-30.4028,-56.4704,40658,admin
Sibenik,43.7339,15.8956,46332,admin
Cobija,-11.0183,-68.7537,46267,admin
Farim,12.4833,-15.2167,46268,admin
Slobozia,44.5639,27.3661,45891,admin
Saint-Brieuc,48.5136,-2.7653,44170,minor
Vilvoorde,50.9281,4.4245,44015,minor
Vidin,43.9887,22.8741,45926,admin
Gbarnga,7.0104,-9.49,45835,admin
Alexandria,43.9686,25.3333,45434,admin
Jaltipan de Morelos,17.9703,-94.7144,41644,minor
Palayan City,15.5333,121.0833,45383,admin
Thun,46.759,7.63,43743,minor
Buta,2.82,24.74,45677,admin
Nueva Gerona,21.8847,-82.8011,45577,admin
Tindouf,27.6753,-8.1286,45610,admin
Bluefields,12.014,-83.7645,45547,admin
Liberia,10.6338,-85.4333,45380,admin
Boulogne-sur-Mer,50.7264,1.6147,40664,minor
Pattani,6.8664,101.2508,44234,admin
Lecherias,10.1889,-64.6951,36450,minor
Actopan,19.5036,-96.6192,43388,minor
Igdir,39.9237,44.045,45321,admin
Pinneberg,53.6591,9.8009,43280,minor
Arendal,58.4667,8.7667,45065,admin
Coyotepec,19.7756,-99.2056,41810,minor
Tarbes,43.23,0.07,42426,minor
Arras,50.292,2.78,41555,minor
Teoloyucan,19.7442,-99.1811,41333,minor
Concepcion,-23.4025,-57.4414,45068,admin
Dunaujvaros,46.9833,18.9167,44200,admin
Zugdidi,42.5083,41.8667,42998,admin
Kabale,-1.2496,29.98,44600,admin
Salvatierra,20.2156,-100.8961,37203,minor
Melun,48.5406,2.66,39947,minor
Swidnik,51.2333,22.7,42797,minor
Kyustendil,42.2797,22.687,44787,admin
Nogent-sur-Marne,48.8375,2.4833,32922,minor
Boumerdes,36.7594,3.4728,41685,admin
Umm al Qaywayn,25.5653,55.5533,44411,admin
Chimaltenango,14.6622,-90.8208,43900,admin
Kapan,39.2011,46.415,43190,admin
Empalme,27.9617,-110.8125,38886,minor
Fort Portal,0.671,30.275,42670,admin
Afyonkarahisar,38.7581,30.5386,44026,admin
Baler,15.7583,121.5625,43785,admin
Playa Vicente,17.8333,-95.8167,39205,minor
Veles,41.7153,21.7753,43716,admin
Stip,41.7358,22.1914,43652,admin
Murzuq,25.9136,13.9336,43732,admin
Concord,43.2305,-71.5595,43627,admin
Kalmar,56.6694,16.3218,41388,admin
Mityana,0.4004,32.05,41131,admin
Hodmezovasarhely,46.4303,20.3189,43311,admin
Kampong Chhnang,12.25,104.6667,41700,admin
Juan Rodriguez Clara,18,-95.4,38895,minor
Beverwijk,52.4864,4.6572,41176,minor
Armavir,40.15,44.04,38635,admin
Minas,-34.3667,-55.2333,38446,admin
Franceville,-1.6333,13.5833,42967,admin
Garbahaarrey,3.35,42.2667,43000,admin
Dubrovnik,42.6403,18.1083,42615,admin
Ciudad Melchor Muzquiz,27.8775,-101.5164,38992,minor
Quinhamel,11.8869,-15.8556,42659,admin
Daman,20.4169,72.834,39737,admin
Tonala,16.0894,-93.7514,35322,minor
Guarda,40.5364,-7.2683,42541,admin
Si Sa Ket,15.1072,104.3291,42405,admin
Fribourg,46.8,7.15,38365,admin
Kampot,10.6,104.1667,39186,admin
Miercurea-Ciuc,46.361,25.524,42029,admin
Berat,40.7049,19.9497,36496,admin
Myrhorod,49.964,33.6124,40160,minor
Bambari,5.7667,20.6833,41356,admin
Cao Bang,22.6731,106.25,41112,admin
San Jose,-34.3333,-56.7167,36747,admin
Xico,19.417,-97,38198,minor
Douai,50.3714,3.08,39634,minor
Puntarenas,9.9764,-84.8339,41528,admin
Narathiwat,6.4264,101.8231,41342,admin
Mambajao,9.25,124.7167,41094,admin
Zacatelco,19.2167,-98.2333,38654,minor
La Paz,14.3169,-87.6831,41250,admin
Lusambo,-4.9696,23.43,41416,admin
Kars,40.6078,43.0958,41376,admin
Sayula de Aleman,17.8833,-94.95,32721,minor
